id,code,info,tags,time
761794,,内推链接: 1) https://campus.kuaishou.cn/recruit/campus/e/#/campus/jobs?internalPerson=ehScjQhClBtC6jeAZqBMgA%3D%3D&recruitSubProjectCode=2022campus,"快手,内推,秋招,校招",1632891561.0
761552,,投递: 1) https://campus.chinahr.com/ws/v/611de951b1153104f66cec2d/index.html?refer=share#/jobdetail/6126f4ea2a3f89046ff5ea9e?projectId=611de951b1153104f66cec2d&shaMarkId=900f815b-9125-43ef-8add-b2413ba99d82,"中银金科,校招,内推",1632883010.0
761792,,内推链接: 1) https://campus.kuaishou.cn/recruit/campus/e/h5/#/campus/jobs?internalPerson=ehScjQhClBtC6jeAZqBMgA%3D%3D&recruitSubProjectCode=2022campus,"快手,内推,秋招,校招",1632891472.0
761674,NTAH5k0,"内推链接: 1) https://www.nowcoder.com/discuss/738374 2) https://docs.qq.com/doc/DTXNTVUxtam1MQ3Fs 
更多详情: 1) https://docs.qq.com/doc/DTUlXelJVdXN0bUNJ","内推,秋招,校招,求offer,求内推",1632886843.0
761693,,投递: 1) https://www.nowcoder.com/link/xyx3-Tsmm,"思谋科技,校招,秋招",1632887477.0
761533,,投递: 1) https://app.mokahr.com/recommendation-apply/bjhl/7663?recommendCode=NTAF6B7&hash=%23%2Fjob%2F4b9dcf21-2bf4-4b70-b902-612b9268c0c1%3Ffrom%3Dqrcode%26isRecommendation%3Dtrue,"内推,秋招,校招",1632882453.0
761527,ONYtOTG,投递: 1) https://campus.meituan.com/bole/wechat?staffSsoId=5942714&appKey=hiring-campus-portal,"美团,内推,校招",1632882125.0
761615,ZTH5968,,"内推,offer比较,秋招,校招,华为,腾讯",1632884590.0
761679,kbneBHg,"内推链接: 1) https://campus.meituan.com/ 2) https://campus.meituan.com/bole/wechat?staffSsoId=5428787&appKey=hiring-campus-portal 
投递: 1) https://campus.meituan.com/bole/wechat?staffSsoId=5428787&appKey=hiring-campus-portal","内推,秋招,校招,美团",1632887021.0
761667,NTAH5k0,"内推链接: 1) https://docs.qq.com/doc/DTXNTVUxtam1MQ3Fs 
更多详情: 1) https://docs.qq.com/doc/DTUlXelJVdXN0bUNJ","内推,秋招,简历,校招,求offer,求内推",1632886592.0
761661,,投递: 1) https://www.nowcoder.com/link/yjzc-wmqc01,"威马汽车,校招,秋招",1632886391.0
761782,,内推链接: 1) https://careers.pinduoduo.com/campus/grad?t=d6jG7IDUqqd6jG7IDUqq~,"内推,笔试时间,招聘进度,秋招,Java,校招",1632890780.0
761645,4ACSGTN,投递: 1) https://thundersoft.jobs.feishu.cn/referral/campus/m/position?token=MzsxNjI5MzYwNzQxODQwOzY5ODI1NDI2MzM0Nzg3MDI2Mjk7MA 2) https://thundersoft.jobs.feishu.cn/referral/m/position?token=MzsxNjI5MzYwNzYzNzE2OzY5ODI1NDI2MzM0Nzg3MDI2Mjk7MA,"中科创达,内推,校招,社招",1632885940.0
